agent,opponent,games,agent_wins,opponent_wins,draws,win_rate
run_20251121_091338.zip,RandomPlayer,500,484,16,0,0.968
run_20251121_084038.zip,RandomPlayer,500,473,27,0,0.946
run_20251121_084536.zip,RandomPlayer,500,478,22,0,0.956
run_20251121_091338.zip,RandomPlayer,500,491,9,0,0.982
run_20251121_084038.zip,RandomPlayer,500,465,35,0,0.930
run_20251121_084536.zip,RandomPlayer,500,476,24,0,0.952
MCTSPlayer,RandomPlayer,500,500,0,0,1.000
run_20251121_091338.zip,MCTSPlayer,500,152,348,0,0.304
run_20251121_084038.zip,MCTSPlayer,500,161,339,0,0.322
run_20251121_084536.zip,MCTSPlayer,500,165,335,0,0.330
run_20251121_084038.zip,run_20251121_091338.zip,500,500,0,0,1.000
run_20251121_084536.zip,run_20251121_091338.zip,500,500,0,0,1.000
run_20251121_084536.zip,run_20251121_084038.zip,500,500,0,0,1.000
RandomPlayer,AlphaBetaPlayer,500,66,434,0,0.132
MCTSPlayer,AlphaBetaPlayer,500,291,209,0,0.582
AlphaBetaPlayer,run_20251121_091338.zip,500,250,250,0,0.500
AlphaBetaPlayer,run_20251121_084038.zip,500,250,250,0,0.500
AlphaBetaPlayer,run_20251121_084536.zip,500,500,0,0,1.000
